2015/04/21 22:15:11 2015-03-12, buy: 1170.000000, sell: 1184.000000
2015/04/21 22:15:11 2015-03-12, buy: 1171.000000, sell: 1185.000000
2015/04/21 22:15:11 2015-03-12, buy: 1172.000000, sell: 1186.000000
2015/04/21 22:15:11 2015-03-12, buy: 1174.000000, sell: 1188.000000
2015/04/21 22:15:11 2015-03-12, buy: 1176.000000, sell: 1190.000000
2015/04/21 22:15:11 2015-03-12, buy: 1176.000000, sell: 1189.000000
2015/04/21 22:15:11 2015-03-12, buy: 1174.000000, sell: 1188.000000
2015/04/21 22:15:11 2015-03-12, buy: 1176.000000, sell: 1190.000000
2015/04/21 22:15:11 2015-03-12, buy: 1179.000000, sell: 1193.000000
2015/04/21 22:15:11 2015-03-12, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-12, buy: 1180.000000, sell: 1194.000000
2015/04/21 22:15:11 2015-03-13, buy: 1170.000000, sell: 1184.000000
2015/04/21 22:15:11 2015-03-13, buy: 1169.000000, sell: 1183.000000
2015/04/21 22:15:11 2015-03-13, buy: 1168.000000, sell: 1182.000000
2015/04/21 22:15:11 2015-03-13, buy: 1169.000000, sell: 1183.000000
2015/04/21 22:15:11 2015-03-13, buy: 1170.000000, sell: 1184.000000
2015/04/21 22:15:11 2015-03-13, buy: 1171.000000, sell: 1185.000000
2015/04/21 22:15:11 2015-03-13, buy: 1172.000000, sell: 1186.000000
2015/04/21 22:15:11 2015-03-13, buy: 1173.000000, sell: 1187.000000
2015/04/21 22:15:11 2015-03-13, buy: 1174.000000, sell: 1188.000000
2015/04/21 22:15:11 2015-03-13, buy: 1175.000000, sell: 1189.000000
2015/04/21 22:15:11 2015-03-13, buy: 1174.000000, sell: 1188.000000
2015/04/21 22:15:11 2015-03-16, buy: 1169.000000, sell: 1183.000000
2015/04/21 22:15:11 2015-03-16, buy: 1170.000000, sell: 1184.000000
2015/04/21 22:15:11 2015-03-16, buy: 1173.000000, sell: 1187.000000
2015/04/21 22:15:11 2015-03-16, buy: 1174.000000, sell: 1188.000000
2015/04/21 22:15:11 2015-03-16, buy: 1173.000000, sell: 1187.000000
2015/04/21 22:15:11 2015-03-16, buy: 1174.000000, sell: 1188.000000
2015/04/21 22:15:11 2015-03-16, buy: 1175.000000, sell: 1189.000000
2015/04/21 22:15:11 2015-03-16, buy: 1176.000000, sell: 1190.000000
2015/04/21 22:15:11 2015-03-16, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-16, buy: 1176.000000, sell: 1190.000000
2015/04/21 22:15:11 2015-03-16, buy: 1175.000000, sell: 1189.000000
2015/04/21 22:15:11 2015-03-17, buy: 1169.000000, sell: 1183.000000
2015/04/21 22:15:11 2015-03-17, buy: 1167.000000, sell: 1181.000000
2015/04/21 22:15:11 2015-03-17, buy: 1166.000000, sell: 1180.000000
2015/04/21 22:15:11 2015-03-17, buy: 1167.000000, sell: 1181.000000
2015/04/21 22:15:11 2015-03-17, buy: 1168.000000, sell: 1182.000000
2015/04/21 22:15:11 2015-03-17, buy: 1169.000000, sell: 1183.000000
2015/04/21 22:15:11 2015-03-17, buy: 1168.000000, sell: 1182.000000
2015/04/21 22:15:11 2015-03-17, buy: 1167.000000, sell: 1181.000000
2015/04/21 22:15:11 2015-03-17, buy: 1168.000000, sell: 1182.000000
2015/04/21 22:15:11 2015-03-17, buy: 1169.000000, sell: 1183.000000
2015/04/21 22:15:11 2015-03-17, buy: 1168.000000, sell: 1182.000000
2015/04/21 22:15:11 2015-03-18, buy: 1162.000000, sell: 1176.000000
2015/04/21 22:15:11 2015-03-18, buy: 1161.000000, sell: 1175.000000
2015/04/21 22:15:11 2015-03-18, buy: 1162.000000, sell: 1176.000000
2015/04/21 22:15:11 2015-03-18, buy: 1161.000000, sell: 1175.000000
2015/04/21 22:15:11 2015-03-18, buy: 1160.000000, sell: 1174.000000
2015/04/21 22:15:11 2015-03-18, buy: 1159.000000, sell: 1173.000000
2015/04/21 22:15:11 2015-03-18, buy: 1158.000000, sell: 1172.000000
2015/04/21 22:15:11 2015-03-18, buy: 1157.000000, sell: 1171.000000
2015/04/21 22:15:11 2015-03-18, buy: 1156.000000, sell: 1170.000000
2015/04/21 22:15:11 2015-03-19, buy: 1183.000000, sell: 1197.000000
2015/04/21 22:15:11 2015-03-19, buy: 1181.000000, sell: 1195.000000
2015/04/21 22:15:11 2015-03-19, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-19, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-19, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-19, buy: 1176.000000, sell: 1190.000000
2015/04/21 22:15:11 2015-03-19, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-19, buy: 1179.000000, sell: 1193.000000
2015/04/21 22:15:11 2015-03-19, buy: 1180.000000, sell: 1194.000000
2015/04/21 22:15:11 2015-03-19, buy: 1179.000000, sell: 1193.000000
2015/04/21 22:15:11 2015-03-19, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-19, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-19, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-19, buy: 1179.000000, sell: 1193.000000
2015/04/21 22:15:11 2015-03-20, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-20, buy: 1179.000000, sell: 1193.000000
2015/04/21 22:15:11 2015-03-20, buy: 1180.000000, sell: 1194.000000
2015/04/21 22:15:11 2015-03-20, buy: 1179.000000, sell: 1193.000000
2015/04/21 22:15:11 2015-03-20, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-20, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-20, buy: 1176.000000, sell: 1190.000000
2015/04/21 22:15:11 2015-03-20, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-20, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-20, buy: 1178.000000, sell: 1192.000000
2015/04/21 22:15:11 2015-03-20, buy: 1177.000000, sell: 1191.000000
2015/04/21 22:15:11 2015-03-23, buy: 1191.000000, sell: 1206.000000
2015/04/21 22:15:11 2015-03-23, buy: 1190.000000, sell: 1204.000000
2015/04/21 22:15:11 2015-03-23, buy: 1189.000000, sell: 1203.000000
2015/04/21 22:15:11 2015-03-23, buy: 1188.000000, sell: 1202.000000
2015/04/21 22:15:11 2015-03-23, buy: 1187.000000, sell: 1201.000000
2015/04/21 22:15:11 2015-03-23, buy: 1188.000000, sell: 1202.000000
2015/04/21 22:15:11 2015-03-23, buy: 1189.000000, sell: 1203.000000
2015/04/21 22:15:11 2015-03-23, buy: 1188.000000, sell: 1202.000000
2015/04/21 22:15:11 2015-03-23, buy: 1189.000000, sell: 1203.000000
2015/04/21 22:15:11 2015-03-23, buy: 1190.000000, sell: 1204.000000
2015/04/21 22:15:11 2015-03-23, buy: 1189.000000, sell: 1203.000000
2015/04/21 22:15:11 2015-03-24, buy: 1194.000000, sell: 1209.000000
2015/04/21 22:15:11 2015-03-24, buy: 1192.000000, sell: 1207.000000
2015/04/21 22:15:11 2015-03-24, buy: 1194.000000, sell: 1209.000000
2015/04/21 22:15:11 2015-03-24, buy: 1191.000000, sell: 1206.000000
2015/04/21 22:15:11 2015-03-24, buy: 1189.000000, sell: 1203.000000
2015/04/21 22:15:11 2015-03-24, buy: 1194.000000, sell: 1209.000000
2015/04/21 22:15:11 2015-03-24, buy: 1192.000000, sell: 1207.000000
2015/04/21 22:15:11 2015-03-24, buy: 1190.000000, sell: 1205.000000
2015/04/21 22:15:11 2015-03-24, buy: 1190.000000, sell: 1204.000000
2015/04/21 22:15:11 2015-03-24, buy: 1191.000000, sell: 1205.000000
2015/04/21 22:15:11 2015-03-25, buy: 1195.000000, sell: 1210.000000
2015/04/21 22:15:11 2015-03-25, buy: 1193.000000, sell: 1208.000000
2015/04/21 22:15:11 2015-03-25, buy: 1192.000000, sell: 1207.000000
2015/04/21 22:15:11 2015-03-25, buy: 1191.000000, sell: 1206.000000
2015/04/21 22:15:11 2015-03-25, buy: 1192.000000, sell: 1207.000000
2015/04/21 22:15:11 2015-03-25, buy: 1191.000000, sell: 1206.000000
2015/04/21 22:15:11 2015-03-25, buy: 1190.000000, sell: 1204.000000
2015/04/21 22:15:11 2015-03-25, buy: 1189.000000, sell: 1203.000000
2015/04/21 22:15:11 2015-03-25, buy: 1190.000000, sell: 1204.000000
2015/04/21 22:15:11 2015-03-26, buy: 1196.000000, sell: 1211.000000
2015/04/21 22:15:11 2015-03-26, buy: 1199.000000, sell: 1214.000000
2015/04/21 22:15:11 2015-03-26, buy: 1198.000000, sell: 1213.000000
2015/04/21 22:15:11 2015-03-26, buy: 1197.000000, sell: 1212.000000
2015/04/21 22:15:11 2015-03-26, buy: 1198.000000, sell: 1213.000000
2015/04/21 22:15:11 2015-03-26, buy: 1199.000000, sell: 1214.000000
2015/04/21 22:15:11 2015-03-26, buy: 1200.000000, sell: 1215.000000
2015/04/21 22:15:11 2015-03-26, buy: 1199.000000, sell: 1214.000000
2015/04/21 22:15:11 2015-03-26, buy: 1200.000000, sell: 1215.000000
2015/04/21 22:15:11 2015-03-26, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-03-26, buy: 1202.000000, sell: 1217.000000
2015/04/21 22:15:11 2015-03-26, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-03-26, buy: 1202.000000, sell: 1217.000000
2015/04/21 22:15:11 2015-03-27, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-03-27, buy: 1204.000000, sell: 1219.000000
2015/04/21 22:15:11 2015-03-27, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-03-27, buy: 1202.000000, sell: 1217.000000
2015/04/21 22:15:11 2015-03-27, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-03-27, buy: 1200.000000, sell: 1215.000000
2015/04/21 22:15:11 2015-03-27, buy: 1199.000000, sell: 1214.000000
2015/04/21 22:15:11 2015-03-27, buy: 1200.000000, sell: 1215.000000
2015/04/21 22:15:11 2015-03-27, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-03-27, buy: 1202.000000, sell: 1217.000000
2015/04/21 22:15:11 2015-03-27, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-03-27, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-03-27, buy: 1202.000000, sell: 1217.000000
2015/04/21 22:15:11 2015-03-30, buy: 1196.000000, sell: 1211.000000
2015/04/21 22:15:11 2015-03-30, buy: 1197.000000, sell: 1212.000000
2015/04/21 22:15:11 2015-03-30, buy: 1196.000000, sell: 1211.000000
2015/04/21 22:15:11 2015-03-30, buy: 1195.000000, sell: 1210.000000
2015/04/21 22:15:11 2015-03-30, buy: 1194.000000, sell: 1209.000000
2015/04/21 22:15:11 2015-03-30, buy: 1195.000000, sell: 1210.000000
2015/04/21 22:15:11 2015-03-30, buy: 1194.000000, sell: 1209.000000
2015/04/21 22:15:11 2015-03-30, buy: 1193.000000, sell: 1208.000000
2015/04/21 22:15:11 2015-03-30, buy: 1192.000000, sell: 1207.000000
2015/04/21 22:15:11 2015-03-30, buy: 1191.000000, sell: 1206.000000
2015/04/21 22:15:11 2015-03-30, buy: 1190.000000, sell: 1204.000000
2015/04/21 22:15:11 2015-03-30, buy: 1189.000000, sell: 1203.000000
2015/04/21 22:15:11 2015-03-31, buy: 1187.000000, sell: 1201.000000
2015/04/21 22:15:11 2015-03-31, buy: 1186.000000, sell: 1200.000000
2015/04/21 22:15:11 2015-03-31, buy: 1185.000000, sell: 1199.000000
2015/04/21 22:15:11 2015-03-31, buy: 1186.000000, sell: 1200.000000
2015/04/21 22:15:11 2015-03-31, buy: 1185.000000, sell: 1199.000000
2015/04/21 22:15:11 2015-03-31, buy: 1184.000000, sell: 1198.000000
2015/04/21 22:15:11 2015-03-31, buy: 1183.000000, sell: 1197.000000
2015/04/21 22:15:11 2015-03-31, buy: 1182.000000, sell: 1196.000000
2015/04/21 22:15:11 2015-03-31, buy: 1183.000000, sell: 1197.000000
2015/04/21 22:15:11 2015-03-31, buy: 1184.000000, sell: 1198.000000
2015/04/21 22:15:11 2015-03-31, buy: 1183.000000, sell: 1197.000000
2015/04/21 22:15:11 2015-03-31, buy: 1182.000000, sell: 1196.000000
2015/04/21 22:15:11 2015-03-31, buy: 1181.000000, sell: 1195.000000
2015/04/21 22:15:11 2015-04-01, buy: 1185.000000, sell: 1199.000000
2015/04/21 22:15:11 2015-04-01, buy: 1188.000000, sell: 1202.000000
2015/04/21 22:15:11 2015-04-01, buy: 1186.000000, sell: 1200.000000
2015/04/21 22:15:11 2015-04-01, buy: 1187.000000, sell: 1201.000000
2015/04/21 22:15:11 2015-04-01, buy: 1189.000000, sell: 1203.000000
2015/04/21 22:15:11 2015-04-01, buy: 1187.000000, sell: 1201.000000
2015/04/21 22:15:11 2015-04-01, buy: 1186.000000, sell: 1200.000000
2015/04/21 22:15:11 2015-04-02, buy: 1203.000000, sell: 1217.000000
2015/04/21 22:15:11 2015-04-02, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-04-02, buy: 1200.000000, sell: 1215.000000
2015/04/21 22:15:11 2015-04-02, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-04-02, buy: 1199.000000, sell: 1214.000000
2015/04/21 22:15:11 2015-04-02, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-04-02, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-04-07, buy: 1209.000000, sell: 1224.000000
2015/04/21 22:15:11 2015-04-07, buy: 1206.000000, sell: 1221.000000
2015/04/21 22:15:11 2015-04-07, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-04-07, buy: 1200.000000, sell: 1215.000000
2015/04/21 22:15:11 2015-04-07, buy: 1199.000000, sell: 1214.000000
2015/04/21 22:15:11 2015-04-07, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-04-07, buy: 1200.000000, sell: 1215.000000
2015/04/21 22:15:11 2015-04-08, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-04-08, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-04-08, buy: 1202.000000, sell: 1217.000000
2015/04/21 22:15:11 2015-04-08, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-04-08, buy: 1200.000000, sell: 1215.000000
2015/04/21 22:15:11 2015-04-08, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-04-08, buy: 1202.000000, sell: 1217.000000
2015/04/21 22:15:11 2015-04-08, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-04-08, buy: 1202.000000, sell: 1217.000000
2015/04/21 22:15:11 2015-04-08, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-04-09, buy: 1193.000000, sell: 1208.000000
2015/04/21 22:15:11 2015-04-09, buy: 1196.000000, sell: 1211.000000
2015/04/21 22:15:11 2015-04-09, buy: 1194.000000, sell: 1209.000000
2015/04/21 22:15:11 2015-04-09, buy: 1193.000000, sell: 1208.000000
2015/04/21 22:15:11 2015-04-09, buy: 1191.000000, sell: 1206.000000
2015/04/21 22:15:11 2015-04-09, buy: 1190.000000, sell: 1205.000000
2015/04/21 22:15:11 2015-04-09, buy: 1191.000000, sell: 1206.000000
2015/04/21 22:15:11 2015-04-09, buy: 1190.000000, sell: 1205.000000
2015/04/21 22:15:11 2015-04-09, buy: 1191.000000, sell: 1206.000000
